Kat's Test
SpineBase.x,SpineBase.y,SpineBase.z,SpineMid.x,SpineMid.y,SpineMid.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,ShoulderLeft.x,ShoulderLeft.y,ShoulderLeft.z,ElbowLeft.x,ElbowLeft.y,ElbowLeft.z,WristLeft.x,WristLeft.y,WristLeft.z,HandLeft.x,HandLeft.y,HandLeft.z,ShoulderRight.x,ShoulderRight.y,ShoulderRight.z,ElbowRight.x,ElbowRight.y,ElbowRight.z,WristRight.x,WristRight.y,WristRight.z,HandRight.x,HandRight.y,HandRight.z,HipLeft.x,HipLeft.y,HipLeft.z,KneeLeft.x,KneeLeft.y,KneeLeft.z,AnkleLeft.x,AnkleLeft.y,AnkleLeft.z,FootLeft.x,FootLeft.y,FootLeft.z,HipRight.x,HipRight.y,HipRight.z,KneeRight.x,KneeRight.y,KneeRight.z,AnkleRight.x,AnkleRight.y,AnkleRight.z,FootRight.x,FootRight.y,FootRight.z,ThumbLeft.x,ThumbLeft.y,ThumbLeft.z,HandTipRight.x,HandTipRight.y,HandTipRight.z,ThumbRight.x,ThumbRight.y,ThumbRight.z,
0 0.171327,-0.153115,1.249952,1 0.185881,0.146248,1.305663,2 0.198076,0.427192,1.347476,3 0.220033,0.545724,1.321783,4 0.036713,0.299038,1.298795,5 -0.086290,0.067038,1.295349,6 -0.202441,-0.134919,1.231557,7 -0.243538,-0.185143,1.212468,8 0.325649,0.305089,1.291426,9 0.392052,0.027588,1.307675,10 0.485347,-0.179846,1.303231,11 0.531291,-0.251644,1.313710,12 0.099434,-0.150488,1.201733,13 0.012888,-0.388068,0.972174,14 0.073887,-0.518659,1.059452,N/A,N/A,N/A,16 0.233422,-0.147147,1.227937,N/A,N/A,N/A,18 0.264782,-0.557674,1.115347,N/A,N/A,N/A,20 0.195365,0.359184,1.339080,21 -0.277653,-0.242941,1.180498,22 -0.255540,-0.158785,1.165185,23 0.562864,-0.301560,1.312879,24 0.549490,-0.230565,1.275133,
0 0.177067,-0.165247,1.210158,1 0.188423,0.144086,1.298606,2 0.198821,0.427591,1.349032,3 0.220653,0.546439,1.324091,4 0.036856,0.299213,1.299779,5 -0.086307,0.067080,1.296065,6 -0.202903,-0.139117,1.235136,7 -0.239829,-0.194086,1.227069,8 0.326030,0.305249,1.292459,9 0.393072,0.028142,1.308917,10 0.488452,-0.178285,1.303848,11 0.543303,-0.247058,1.315554,12 0.104623,-0.162303,1.159631,N/A,N/A,N/A,14 0.075038,-0.517575,1.059106,N/A,N/A,N/A,16 0.238856,-0.158450,1.189226,N/A,N/A,N/A,18 0.265662,-0.558098,1.116324,N/A,N/A,N/A,20 0.196070,0.359437,1.340167,21 -0.271692,-0.251926,1.198127,22 -0.252920,-0.168278,1.179143,23 0.573512,-0.298029,1.312097,24 0.557155,-0.221456,1.276895,
0 0.188660,-0.182891,1.205401,1 0.194622,0.136253,1.292213,2 0.199505,0.427888,1.350070,3 0.221766,0.547461,1.325985,4 0.041957,0.296385,1.297047,5 -0.083991,0.072182,1.296936,6 -0.199219,-0.138665,1.243019,7 -0.240352,-0.200598,1.241946,8 0.326233,0.305678,1.292952,9 0.398506,0.030169,1.311941,10 0.508072,-0.168314,1.304092,11 0.555883,-0.237642,1.315075,12 0.116374,-0.182089,1.154277,13 0.066749,-0.504687,1.061637,N/A,N/A,N/A,N/A,N/A,N/A,16 0.249448,-0.172970,1.184219,17 0.295856,-0.494877,1.099215,N/A,N/A,N/A,N/A,N/A,N/A,20 0.197601,0.358941,1.340400,21 -0.272948,-0.259384,1.221833,22 -0.256226,-0.176969,1.193963,23 0.592230,-0.296143,1.317056,24 0.579886,-0.228230,1.290296,
0 0.192235,-0.186107,1.206034,1 0.197359,0.134102,1.291422,2 0.200562,0.428067,1.350972,3 0.223318,0.548304,1.328096,4 0.044577,0.295342,1.296378,5 -0.083753,0.074270,1.297786,6 -0.200376,-0.142028,1.251580,7 -0.243851,-0.204120,1.256779,8 0.326474,0.305946,1.293253,9 0.405759,0.032934,1.315711,10 0.518776,-0.162742,1.304808,11 0.573876,-0.229811,1.315858,12 0.119602,-0.185007,1.154640,13 0.065848,-0.508640,1.061587,N/A,N/A,N/A,N/A,N/A,N/A,16 0.253024,-0.176113,1.184542,17 0.298383,-0.499859,1.100088,N/A,N/A,N/A,N/A,N/A,N/A,20 0.199230,0.358476,1.340635,21 -0.279101,-0.260348,1.242765,22 -0.259160,-0.176704,1.209500,23 0.629229,-0.295382,1.343092,24 0.599168,-0.218544,1.298450,
0 0.196084,-0.188515,1.207141,1 0.202252,0.132017,1.291649,2 0.206841,0.427917,1.353743,3 0.225341,0.548919,1.330127,4 0.063243,0.286194,1.287580,5 -0.083436,0.076914,1.298478,6 -0.202522,-0.142098,1.258591,7 -0.249080,-0.201744,1.267542,8 0.327878,0.306182,1.292969,9 0.414622,0.036746,1.318550,10 0.533945,-0.154514,1.305214,11 0.590965,-0.220620,1.314293,12 0.123846,-0.188320,1.155434,13 0.066086,-0.511704,1.060840,N/A,N/A,N/A,N/A,N/A,N/A,16 0.256275,-0.177560,1.185539,17 0.303520,-0.501711,1.102270,N/A,N/A,N/A,N/A,N/A,N/A,20 0.205413,0.357312,1.341881,21 -0.280296,-0.258698,1.255908,22 -0.262160,-0.174523,1.220160,23 0.627185,-0.272823,1.312082,24 0.612304,-0.202989,1.289625,
0 0.199951,-0.189943,1.208471,1 0.206060,0.131115,1.292523,2 0.210906,0.428303,1.356161,3 0.227886,0.549867,1.332459,4 0.066807,0.285400,1.287369,5 -0.083101,0.080654,1.300810,6 -0.197359,-0.121865,1.271296,7 -0.257646,-0.195504,1.276428,8 0.329342,0.305944,1.292871,9 0.425148,0.045787,1.321970,10 0.548601,-0.145754,1.306539,11 0.609666,-0.211854,1.315055,12 0.128163,-0.189909,1.157320,13 0.066600,-0.512885,1.059840,N/A,N/A,N/A,N/A,N/A,N/A,16 0.259480,-0.178665,1.186142,17 0.310156,-0.502951,1.104204,N/A,N/A,N/A,N/A,N/A,N/A,20 0.209499,0.357111,1.343433,21 -0.293428,-0.251603,1.266878,22 -0.272528,-0.170474,1.231250,23 0.659895,-0.266218,1.318111,24 0.619574,-0.180087,1.288588,
0 0.208371,-0.192848,1.212025,1 0.213581,0.129292,1.294825,2 0.217472,0.428323,1.359499,3 0.232987,0.551235,1.335880,4 0.072853,0.286201,1.289583,5 -0.083374,0.088307,1.306465,6 -0.203104,-0.106724,1.279055,7 -0.276775,-0.177152,1.281928,8 0.334523,0.302311,1.293183,9 0.443194,0.053091,1.323662,10 0.580429,-0.133559,1.305650,11 0.644197,-0.194850,1.313228,12 0.137435,-0.191415,1.162745,13 0.071288,-0.513170,1.055215,N/A,N/A,N/A,N/A,N/A,N/A,16 0.266787,-0.182607,1.187689,17 0.317826,-0.508052,1.107374,N/A,N/A,N/A,N/A,N/A,N/A,20 0.216539,0.356420,1.346071,21 -0.321994,-0.234741,1.268358,22 -0.293457,-0.151613,1.239684,23 0.705721,-0.251242,1.319188,24 0.662249,-0.163012,1.299000,
0 0.210935,-0.193252,1.213825,1 0.216290,0.128799,1.295857,2 0.220194,0.428072,1.360333,3 0.234547,0.551726,1.336890,4 0.073142,0.287166,1.291713,5 -0.083799,0.091478,1.309314,6 -0.209464,-0.097415,1.282345,7 -0.286913,-0.166560,1.282599,8 0.337346,0.300200,1.293634,9 0.450966,0.055356,1.322664,10 0.596467,-0.129479,1.304379,11 0.658381,-0.186626,1.309795,12 0.140570,-0.190939,1.165738,13 0.075144,-0.512505,1.052777,N/A,N/A,N/A,N/A,N/A,N/A,16 0.268784,-0.183614,1.188477,17 0.321674,-0.509396,1.108715,N/A,N/A,N/A,N/A,N/A,N/A,20 0.219359,0.356025,1.346844,21 -0.335738,-0.223536,1.270398,22 -0.298051,-0.137720,1.239343,23 0.715403,-0.237099,1.311773,24 0.670795,-0.155155,1.288595,
0 0.210935,-0.193252,1.213825,1 0.216290,0.128799,1.295857,2 0.220194,0.428072,1.360333,3 0.234547,0.551726,1.336890,4 0.073142,0.287166,1.291713,5 -0.083799,0.091478,1.309314,6 -0.209464,-0.097415,1.282345,7 -0.286913,-0.166560,1.282599,8 0.337346,0.300200,1.293634,9 0.450966,0.055356,1.322664,10 0.596467,-0.129479,1.304379,11 0.658381,-0.186626,1.309795,12 0.140570,-0.190939,1.165738,13 0.075144,-0.512505,1.052777,N/A,N/A,N/A,N/A,N/A,N/A,16 0.268784,-0.183614,1.188477,17 0.321674,-0.509396,1.108715,N/A,N/A,N/A,N/A,N/A,N/A,20 0.219359,0.356025,1.346844,21 -0.335738,-0.223536,1.270398,22 -0.298051,-0.137720,1.239343,23 0.715403,-0.237099,1.311773,24 0.670795,-0.155155,1.288595,
0 0.214053,-0.192736,1.216331,1 0.218857,0.128791,1.296901,2 0.222327,0.427956,1.360690,3 0.236028,0.551814,1.338055,4 0.073665,0.287903,1.294122,5 -0.084336,0.094609,1.312187,6 -0.225913,-0.095314,1.283781,7 -0.300109,-0.159686,1.283768,8 0.339808,0.298581,1.294170,9 0.458784,0.057582,1.321252,10 0.602950,-0.121114,1.302150,11 0.670339,-0.177029,1.305799,12 0.144723,-0.187828,1.170338,13 0.078310,-0.508661,1.051139,N/A,N/A,N/A,N/A,N/A,N/A,16 0.271151,-0.184789,1.189567,17 0.325854,-0.510784,1.109748,N/A,N/A,N/A,N/A,N/A,N/A,20 0.221644,0.355879,1.347279,21 -0.343427,-0.212189,1.271695,22 -0.339350,-0.208522,1.238500,23 0.729694,-0.229645,1.303605,24 0.687467,-0.144902,1.291278,
0 0.219760,-0.178717,1.225162,1 0.221832,0.133708,1.299353,2 0.223851,0.428641,1.360340,3 0.237997,0.552022,1.337907,4 0.069187,0.295931,1.302205,5 -0.081445,0.107784,1.319846,6 -0.244990,-0.088394,1.284708,7 -0.317601,-0.142028,1.283658,8 0.340688,0.300578,1.294397,9 0.462871,0.069040,1.318901,10 0.619419,-0.108671,1.295348,11 0.686251,-0.161192,1.294353,12 0.150403,-0.173115,1.185899,13 0.081981,-0.493593,1.051298,N/A,N/A,N/A,N/A,N/A,N/A,16 0.275990,-0.173332,1.192352,17 0.332545,-0.502599,1.110827,N/A,N/A,N/A,N/A,N/A,N/A,20 0.223586,0.357148,1.347379,21 -0.371071,-0.193945,1.266385,22 -0.330204,-0.111119,1.247455,23 0.755132,-0.214030,1.293462,24 0.692780,-0.131575,1.267762,
0 0.220326,-0.176851,1.226692,1 0.223211,0.135128,1.300436,2 0.225248,0.428980,1.360576,3 0.238565,0.552207,1.337886,4 0.070675,0.297233,1.303926,5 -0.081297,0.111760,1.322120,6 -0.251561,-0.083608,1.285014,7 -0.325293,-0.135280,1.283596,8 0.341737,0.301531,1.294523,9 0.465268,0.070989,1.317283,10 0.642735,-0.113886,1.287587,11 0.695053,-0.158935,1.287546,12 0.150880,-0.171493,1.188324,13 0.082233,-0.490392,1.052134,N/A,N/A,N/A,N/A,N/A,N/A,16 0.276573,-0.171496,1.192889,17 0.332332,-0.499873,1.110918,N/A,N/A,N/A,N/A,N/A,N/A,20 0.224972,0.357732,1.347761,21 -0.375592,-0.182885,1.271802,22 -0.338726,-0.105571,1.247250,23 0.752463,-0.207517,1.278507,24 0.711851,-0.138021,1.262160,
0 0.220326,-0.176851,1.226692,1 0.223211,0.135128,1.300436,2 0.225248,0.428980,1.360576,3 0.238565,0.552207,1.337886,4 0.070675,0.297233,1.303926,5 -0.081297,0.111760,1.322120,6 -0.251561,-0.083608,1.285014,7 -0.325293,-0.135280,1.283596,8 0.341737,0.301531,1.294523,9 0.465268,0.070989,1.317283,10 0.642735,-0.113886,1.287587,11 0.695053,-0.158935,1.287546,12 0.150880,-0.171493,1.188324,13 0.082233,-0.490392,1.052134,N/A,N/A,N/A,N/A,N/A,N/A,16 0.276573,-0.171496,1.192889,17 0.332332,-0.499873,1.110918,N/A,N/A,N/A,N/A,N/A,N/A,20 0.224972,0.357732,1.347761,21 -0.375592,-0.182885,1.271802,22 -0.338726,-0.105571,1.247250,23 0.752463,-0.207517,1.278507,24 0.711851,-0.138021,1.262160,
0 0.219959,-0.174682,1.228687,1 0.223720,0.136487,1.301315,2 0.225974,0.429418,1.360563,3 0.238779,0.552378,1.337902,4 0.071328,0.298180,1.305279,5 -0.081725,0.114271,1.323893,6 -0.255633,-0.079250,1.285825,7 -0.331728,-0.131231,1.284988,8 0.342377,0.302177,1.294446,9 0.467264,0.072564,1.315090,10 0.645392,-0.113227,1.283937,11 0.697367,-0.155574,1.278644,12 0.150373,-0.169372,1.191686,13 0.080920,-0.486987,1.054084,N/A,N/A,N/A,N/A,N/A,N/A,16 0.276350,-0.169548,1.193611,17 0.331856,-0.497261,1.110925,N/A,N/A,N/A,N/A,N/A,N/A,20 0.225658,0.358356,1.347898,21 -0.383577,-0.178030,1.269966,22 -0.340803,-0.099236,1.247840,23 0.753868,-0.197798,1.268719,24 0.707908,-0.122278,1.256100,
0 0.219005,-0.172645,1.230480,1 0.223815,0.137549,1.302019,2 0.226424,0.429656,1.360524,3 0.238834,0.552622,1.337848,4 0.071770,0.299153,1.306353,5 -0.082394,0.115743,1.324917,6 -0.260070,-0.076362,1.286304,7 -0.336350,-0.128022,1.285539,8 0.342556,0.302644,1.294269,9 0.467549,0.074803,1.312382,10 0.646756,-0.112398,1.279009,11 0.695414,-0.153619,1.269424,12 0.149279,-0.167369,1.194636,13 0.078501,-0.484049,1.056856,N/A,N/A,N/A,N/A,N/A,N/A,16 0.275602,-0.167687,1.194270,17 0.330930,-0.494830,1.110938,N/A,N/A,N/A,N/A,N/A,N/A,20 0.226042,0.358742,1.347974,21 -0.387761,-0.171785,1.276498,22 -0.346836,-0.099364,1.246050,23 0.744271,-0.196676,1.254795,24 0.702558,-0.124164,1.238714,
0 0.213507,-0.168764,1.233251,1 0.221637,0.140124,1.302672,2 0.226127,0.430769,1.359627,3 0.237903,0.553857,1.336795,4 0.071662,0.299997,1.307075,5 -0.084742,0.118754,1.326898,6 -0.264916,-0.071817,1.287928,7 -0.339200,-0.127216,1.288188,8 0.342429,0.303358,1.293761,9 0.463830,0.078445,1.302298,10 0.632075,-0.101057,1.260078,11 0.684108,-0.153790,1.247367,12 0.143864,-0.164037,1.198644,13 0.071409,-0.480525,1.064091,N/A,N/A,N/A,N/A,N/A,N/A,16 0.270367,-0.163502,1.195412,17 0.325939,-0.489916,1.111041,N/A,N/A,N/A,N/A,N/A,N/A,20 0.225418,0.360142,1.347379,21 -0.391825,-0.171999,1.276398,22 -0.353073,-0.099238,1.251720,23 0.734869,-0.192911,1.229271,24 0.679917,-0.116366,1.213250,
0 0.208704,-0.167054,1.234207,1 0.219902,0.141102,1.302997,2 0.226051,0.430911,1.359473,3 0.235897,0.555126,1.335697,4 0.071082,0.300572,1.307336,5 -0.086515,0.119600,1.327958,6 -0.265332,-0.070745,1.288417,7 -0.337931,-0.129333,1.290916,8 0.342104,0.303776,1.293373,9 0.458505,0.080030,1.295637,10 0.622186,-0.100491,1.249443,11 0.674267,-0.156941,1.236254,12 0.139271,-0.162534,1.199956,13 0.066740,-0.479472,1.068006,N/A,N/A,N/A,N/A,N/A,N/A,16 0.265660,-0.161685,1.195788,17 0.321350,-0.487827,1.110512,N/A,N/A,N/A,N/A,N/A,N/A,20 0.225130,0.360450,1.347267,21 -0.390031,-0.175799,1.280836,22 -0.347636,-0.103093,1.250862,23 0.715045,-0.199083,1.216363,24 0.662721,-0.115271,1.200520,
0 0.201543,-0.165864,1.234342,1 0.213666,0.143151,1.302146,2 0.221822,0.432963,1.357014,3 0.232607,0.556208,1.333586,4 0.064871,0.302916,1.307548,5 -0.088228,0.120501,1.328158,6 -0.265755,-0.070489,1.288820,7 -0.336864,-0.133444,1.293585,8 0.335643,0.305495,1.288369,9 0.451859,0.078953,1.287870,10 0.608014,-0.100472,1.237377,11 0.660802,-0.160709,1.225070,12 0.132513,-0.161347,1.200178,13 0.059978,-0.479349,1.072847,N/A,N/A,N/A,N/A,N/A,N/A,16 0.258527,-0.160553,1.195613,17 0.315156,-0.486397,1.109828,N/A,N/A,N/A,N/A,N/A,N/A,20 0.220326,0.362648,1.345248,21 -0.388051,-0.177950,1.284017,22 -0.348790,-0.105056,1.255452,23 0.706132,-0.199737,1.204464,24 0.653297,-0.121838,1.188333,
0 0.192650,-0.164997,1.232981,1 0.206344,0.144943,1.300115,2 0.216468,0.435095,1.353746,3 0.227818,0.557338,1.331028,4 0.057266,0.304384,1.305793,5 -0.091409,0.120698,1.327393,6 -0.275515,-0.082344,1.292807,7 -0.335874,-0.139648,1.297512,8 0.329830,0.306925,1.284531,9 0.440301,0.080366,1.278543,10 0.586237,-0.098374,1.225087,11 0.644191,-0.164007,1.212802,12 0.123864,-0.160150,1.198586,13 0.052144,-0.479739,1.076658,N/A,N/A,N/A,N/A,N/A,N/A,16 0.249871,-0.160040,1.194290,17 0.306857,-0.485867,1.107566,N/A,N/A,N/A,N/A,N/A,N/A,20 0.214428,0.364806,1.342338,21 -0.385005,-0.187754,1.290266,22 -0.352754,-0.112076,1.261312,23 0.684539,-0.204988,1.191061,24 0.646049,-0.130570,1.175812,
0 0.182956,-0.164495,1.231026,1 0.198404,0.146304,1.297923,2 0.210545,0.436864,1.350922,3 0.220519,0.558600,1.328240,4 0.050146,0.304706,1.302444,5 -0.097377,0.120575,1.327293,6 -0.267009,-0.076437,1.296116,7 -0.333958,-0.146501,1.302691,8 0.322527,0.308347,1.280317,9 0.428176,0.081798,1.271345,10 0.570895,-0.098781,1.217611,11 0.623846,-0.165548,1.202355,12 0.114271,-0.159327,1.196315,13 0.044502,-0.480654,1.079334,N/A,N/A,N/A,N/A,N/A,N/A,16 0.240632,-0.159856,1.192496,17 0.298789,-0.485735,1.105675,N/A,N/A,N/A,N/A,N/A,N/A,20 0.207963,0.366554,1.339703,21 -0.386884,-0.194624,1.293300,22 -0.340919,-0.115722,1.262880,23 0.664006,-0.209995,1.181628,24 0.654878,-0.167208,1.163900,
0 0.172126,-0.163019,1.228342,1 0.189399,0.148084,1.295184,2 0.203572,0.438688,1.347851,3 0.213036,0.560035,1.325555,4 0.041375,0.305042,1.298957,5 -0.102542,0.121644,1.327224,6 -0.263652,-0.076728,1.298628,7 -0.329260,-0.151963,1.307609,8 0.315209,0.309783,1.277134,9 0.415887,0.081049,1.263786,10 0.556204,-0.102679,1.208688,11 0.605660,-0.171919,1.192493,12 0.103603,-0.157525,1.192999,13 0.035871,-0.480958,1.082252,N/A,N/A,N/A,N/A,N/A,N/A,16 0.230245,-0.158752,1.190293,17 0.285880,-0.485381,1.101457,N/A,N/A,N/A,N/A,N/A,N/A,20 0.200453,0.368418,1.336740,21 -0.377604,-0.205693,1.300950,22 -0.346903,-0.127032,1.270211,23 0.648997,-0.219922,1.170144,24 0.608122,-0.140633,1.151167,
0 0.159297,-0.160376,1.225022,1 0.178382,0.150314,1.291696,2 0.194519,0.440419,1.344019,3 0.203773,0.561278,1.322490,4 0.033330,0.306384,1.295814,5 -0.112168,0.119806,1.325867,6 -0.261085,-0.078521,1.300877,7 -0.324964,-0.158745,1.311708,8 0.307527,0.312013,1.274392,9 0.401907,0.079390,1.256308,10 0.537562,-0.109387,1.198108,11 0.584040,-0.177799,1.182077,12 0.091706,-0.154759,1.189901,13 0.024593,-0.479617,1.084337,N/A,N/A,N/A,N/A,N/A,N/A,16 0.217242,-0.156372,1.186631,17 0.270455,-0.483503,1.094481,N/A,N/A,N/A,N/A,N/A,N/A,20 0.190887,0.370299,1.333014,21 -0.378694,-0.218367,1.306501,22 -0.338503,-0.134076,1.272072,23 0.621470,-0.220197,1.160384,24 0.586272,-0.145874,1.143120,
0 0.143845,-0.159190,1.219477,1 0.166004,0.151455,1.286557,2 0.185016,0.441353,1.339119,3 0.193710,0.562035,1.317449,4 0.023984,0.307477,1.292088,5 -0.119622,0.117088,1.322331,6 -0.259628,-0.083003,1.301785,7 -0.320562,-0.166280,1.311867,8 0.287145,0.311425,1.263214,9 0.385885,0.078404,1.248233,10 0.519485,-0.118615,1.186594,11 0.560549,-0.183393,1.171155,12 0.076721,-0.153190,1.184262,13 0.014994,-0.480094,1.084722,N/A,N/A,N/A,N/A,N/A,N/A,16 0.202224,-0.155582,1.181079,17 0.253399,-0.482215,1.081785,N/A,N/A,N/A,N/A,N/A,N/A,20 0.180678,0.371307,1.328070,21 -0.369036,-0.226084,1.308841,22 -0.335249,-0.145537,1.271909,23 0.598757,-0.226073,1.151443,24 0.566772,-0.154555,1.129182,
0 0.130797,-0.159601,1.214017,1 0.154783,0.151710,1.280938,2 0.175714,0.442036,1.333254,3 0.183251,0.561941,1.311912,4 0.014517,0.307331,1.285736,5 -0.125138,0.114915,1.318658,6 -0.259604,-0.092187,1.302232,7 -0.318655,-0.176018,1.311487,8 0.282523,0.312775,1.261510,9 0.372971,0.075130,1.241004,10 0.503388,-0.132903,1.174662,11 0.536340,-0.190462,1.162003,12 0.064922,-0.153470,1.179040,13 0.007593,-0.481989,1.084994,N/A,N/A,N/A,N/A,N/A,N/A,16 0.188655,-0.156051,1.175304,17 0.234635,-0.481242,1.062189,N/A,N/A,N/A,N/A,N/A,N/A,20 0.170885,0.371912,1.322272,21 -0.364214,-0.235267,1.310352,22 -0.334567,-0.153074,1.270920,23 0.573550,-0.235509,1.140574,24 0.546314,-0.165187,1.120792,
0 0.119609,-0.162639,1.207531,1 0.144521,0.150263,1.274896,2 0.166448,0.441862,1.327432,3 0.173401,0.560787,1.306379,4 0.004873,0.306802,1.279064,5 -0.130212,0.112388,1.313093,6 -0.260413,-0.103046,1.299764,7 -0.316849,-0.186531,1.307227,8 0.268447,0.308831,1.252683,9 0.358032,0.071005,1.233613,10 0.453498,-0.116735,1.168839,11 0.509093,-0.193137,1.153551,12 0.054211,-0.155888,1.172854,13 -0.003752,-0.484899,1.082846,N/A,N/A,N/A,N/A,N/A,N/A,16 0.177651,-0.159478,1.168463,17 0.207942,-0.482742,1.037349,N/A,N/A,N/A,N/A,N/A,N/A,20 0.161355,0.371453,1.316409,21 -0.356723,-0.246855,1.308684,22 -0.335479,-0.164721,1.269434,23 0.545041,-0.244187,1.128715,24 0.522623,-0.172891,1.109727,
